,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4452,0.582,0.695,8,-5.506,1,0.0975,0.308,5.9e-06,0.112,0.543,101.005,audio_features,0ApflIvLLPwEZuS36WYlh6,spotify:track:0ApflIvLLPwEZuS36WYlh6,https://api.spotify.com/v1/tracks/0ApflIvLLPwEZuS36WYlh6,https://api.spotify.com/v1/audio-analysis/0ApflIvLLPwEZuS36WYlh6,251286,4
4453,0.727,0.6,8,-4.799,1,0.24,0.636,5.1e-06,0.106,0.754,199.796,audio_features,7ErtOGQ9DwyQa3lwP77j4u,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,https://api.spotify.com/v1/tracks/7ErtOGQ9DwyQa3lwP77j4u,https://api.spotify.com/v1/audio-analysis/7ErtOGQ9DwyQa3lwP77j4u,216000,4
4454,0.671,0.601,5,-7.335,1,0.307,0.39,8.9e-06,0.0988,0.519,100.961,audio_features,1CANP9um3E8PolYHhvzttV,spotify:track:1CANP9um3E8PolYHhvzttV,https://api.spotify.com/v1/tracks/1CANP9um3E8PolYHhvzttV,https://api.spotify.com/v1/audio-analysis/1CANP9um3E8PolYHhvzttV,159000,4
4455,0.816,0.644,5,-9.618,0,0.115,0.282,0.00665,0.135,0.557,104.958,audio_features,7BlFbqi4xLnITH61QN9iGi,spotify:track:7BlFbqi4xLnITH61QN9iGi,https://api.spotify.com/v1/tracks/7BlFbqi4xLnITH61QN9iGi,https://api.spotify.com/v1/audio-analysis/7BlFbqi4xLnITH61QN9iGi,131720,4
4456,0.594,0.85,1,-3.015,1,0.0984,0.0448,0.0155,0.0664,0.72,118.784,audio_features,3AHwZ9xurmvzDOKw0Kjzrt,spotify:track:3AHwZ9xurmvzDOKw0Kjzrt,https://api.spotify.com/v1/tracks/3AHwZ9xurmvzDOKw0Kjzrt,https://api.spotify.com/v1/audio-analysis/3AHwZ9xurmvzDOKw0Kjzrt,194622,4
4457,0.819,0.817,1,-8.221,0,0.0698,0.0593,0.201,0.275,0.77,120.039,audio_features,5UwxpuGHkwiojKDaPC5ZNu,spotify:track:5UwxpuGHkwiojKDaPC5ZNu,https://api.spotify.com/v1/tracks/5UwxpuGHkwiojKDaPC5ZNu,https://api.spotify.com/v1/audio-analysis/5UwxpuGHkwiojKDaPC5ZNu,148000,4
4458,0.711,0.777,6,-6.26,1,0.0408,0.49,0.000445,0.128,0.783,101.022,audio_features,3efQODwjIfMi9NAl3p7lTI,spotify:track:3efQODwjIfMi9NAl3p7lTI,https://api.spotify.com/v1/tracks/3efQODwjIfMi9NAl3p7lTI,https://api.spotify.com/v1/audio-analysis/3efQODwjIfMi9NAl3p7lTI,171071,4
4459,0.718,0.592,7,-7.323,1,0.0529,0.369,0.0128,0.112,0.474,104.052,audio_features,2dWI1xzmDodLO3AufxrpVJ,spotify:track:2dWI1xzmDodLO3AufxrpVJ,https://api.spotify.com/v1/tracks/2dWI1xzmDodLO3AufxrpVJ,https://api.spotify.com/v1/audio-analysis/2dWI1xzmDodLO3AufxrpVJ,168000,4
4460,0.739,0.725,5,-8.263,0,0.188,0.303,0.0445,0.111,0.442,99.963,audio_features,57aSFHbcsii8hyCgWJJaHq,spotify:track:57aSFHbcsii8hyCgWJJaHq,https://api.spotify.com/v1/tracks/57aSFHbcsii8hyCgWJJaHq,https://api.spotify.com/v1/audio-analysis/57aSFHbcsii8hyCgWJJaHq,136107,4
4461,0.821,0.611,0,-8.967,0,0.0535,0.0131,0.00393,0.0395,0.431,113.006,audio_features,16vqEDaCZpq5zdgop8U9uM,spotify:track:16vqEDaCZpq5zdgop8U9uM,https://api.spotify.com/v1/tracks/16vqEDaCZpq5zdgop8U9uM,https://api.spotify.com/v1/audio-analysis/16vqEDaCZpq5zdgop8U9uM,327080,4
4462,0.903,0.761,2,-8.148,1,0.0824,0.0249,3.11e-06,0.0396,0.387,112.006,audio_features,2bYyRHOUHCQ96uN4zhhvAK,spotify:track:2bYyRHOUHCQ96uN4zhhvAK,https://api.spotify.com/v1/tracks/2bYyRHOUHCQ96uN4zhhvAK,https://api.spotify.com/v1/audio-analysis/2bYyRHOUHCQ96uN4zhhvAK,244880,4
4463,0.841,0.668,2,-9.503,1,0.0497,0.431,3.19e-06,0.0396,0.849,112.017,audio_features,70u9ZcQTuh6Px72BpoQWIj,spotify:track:70u9ZcQTuh6Px72BpoQWIj,https://api.spotify.com/v1/tracks/70u9ZcQTuh6Px72BpoQWIj,https://api.spotify.com/v1/audio-analysis/70u9ZcQTuh6Px72BpoQWIj,180000,4
